,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alue,Suomenkieliset,Suomenkieliset %,Ruotsinkieliset,Ruotsinkieliset %,Vieraskieliset,Vieraskieliset %,Ulkomaalaiset,Ulkomaalaiset %,Ulkomaalaistaustaiset,Ulkomaalaistaustaiset %,H:gissä syntyneitä,H:gissä syntyneitä %,Syntyneet lkm,Syntyneet /1000 as,Kuolleet lkm,Kuolleet /1000 as,Muutto alueelle lkm,Muutto alueelle /1000 as,Muutto alueelta lkm,Muutto alueelta /1000 as,0-6v ennuste,0-6v ennuste %,7-15v ennuste,7-15v ennnuste %,16-64v ennuste,16-64v ennuste %,Yli65v ennuste,Yli65v ennuste %,Asukkaita/km2,Työpaikkoja/km2,Kerrosala/ha,Asukkaat yht,0-6-vuotiaat,0-6-vuotiaat %,7-15-vuotiaat,7-15-vuotiaat %,16-18-vuotiaat,16-18-vuotiaat %,19-24-vuotiaat,19-24-vuotiaat %,25-39-vuotiaat,25-39-vuotiaat %,40-64-vuotiaat,40-64-vuotiaat %,Yli 65-vuotiaat,Yli 65-vuotiaat %,Asuntokuntien lkm,Asuntokuntien keskikoko,1-hengen asuntokuntia,Perheiden lkm,Lapsiperheiden lkm,Perheiden keskikoko,Perusaste,Perusaste %,Keskiaste,Keskiaste %,Korkea-aste,Korkea-aste %,Lukiota käyvät,Lukiota käyvien osuus 16-18-vuotiaista,Ammattikoulua käyvät,Ammattikoulua käyvien osuus 16-18-vuotiaista,Tulot/asukas,"Pienituloiset asuntokunnat, %",Asuntokuntien mediaanitulot,Mediaanitulot/kulutusyksikkö,Asuntojen keskikoko m2,Asumisväljyys m2/asukas,Asumistiheys huonetta/henki,Asuntoja yhteensä,Pientaloasuntoja,Vuokra-asuntoja,ARA-vuokra-asuntoja,Toimitilarakennukset yhteensä kerrosala 1000 m2,Liikerakennukset,Julkiset rakennukset,Teollisuus- ja varastorakennukset,Muut rakennukset,Päiväkoteja,Lapsia päiväkotihoidossa,Lapsia päiväkotihoidossa / 100 lasta,Lapsia perhepäivähoidossa yht,Lapsia perhepäivähoidossa/100 lasta,Lapsia kotihoidon tuen piirissä,Lapsia kotihoidon tuen piirissä /100,Lapsia yksityisen hoidon tuen piirissä,Lapsia yksityisen hoidon tuen piirissä / 100 lasta,Suomenkielinen alakoulut,Suomenkielinen alakoulujen oppilaat,Suomenkielinen yläkoulut,Suomenkielinen yläkoulun oppilaat,Ruotsinkielinen alakoulut,Ruotsinkielinen alakoulun oppilaat,Ruotsinkielinen yläkoulut,Ruotsinkielinen yläkoulujen oppilaat,Lukio koulut,Lukio oppilaat,Erikois- ja erityiskoulut,Erikois- ja erityiskoulut oppilaat,Avohoitokäynnit yhteensä,Avohoitokäynnit yhteensä/asukas,Perusterveydenhuolto,Perusterveydenhuolto/asukas,Erikoissairaanhoito,Erikoissairaanhoito/asukas,Toimeentulotuen saajia,Toimeentulotuen saajia/100 asukasta,Lastensuojelun asiakkaat,Lastensuojelun asiakkaita/100 ,Kirjasto,Terveysasema,Leikkipuisto,Uimahalli,Liikuntasalit ja -hallit,Pallokentät,Kirkko,Posti,Apteekki,Alko,Päivittäistavarakaupat,Muut vähittäiskaupat,Ravintolat ,Kahvilat ja baarit,"Puistoa, ha","Metsää, ha","Uimaranta, kpl",Työttömyysaste,Pitäaikaistyöttömyys,Nuorisotyöttömyysaste,Työllisyysaste,Henkilövahinko-onnettomuudet keskimäärin/vuosi,Jalankulkuonnettomuuksia keskimäärin/vuosi,Autottomat asuntokunnat,Alueen kolme yleisintä vierasta kieltä,,,,,
6    Kaakkoinen suurpiiri       ,42593,"80,6",2986,"5,6",7271,"13,8",4 158,"7,9",7 343,"13,9",23 606,"44,7",514,"9,9",417,"8,0",7898,"151,5",7171,"137,6",4995,"7,0",6313,"8,8",45827,"64,0",14444,"20,2",2 095,538,1 395,52850,4141,"7,8",4821,"9,1",1442,"2,7",3322,"6,3",12508,"23,7",17130,"32,4",9486,"18,0",27 293,"1,92",12 830,13 819,7 312,"2,7",4 471,"15,1",9 668,"38,4",15 499,"52,3",1 192,"68,2",1839,"22,0",  37 407   ,"13,0",  40 897   ,  25 581   ,"67,8","35,4","1,38",29485,5012,14502,7373,1064,225,218,395,227,23,2425,"67,3",94,"2,6",696,"16,8",296,"8,2",9,3403,4,1718,2,266,0,0,3,1259,1,39,585 402,"11,1",486 837,"9,2",98 565,"1,9",5 455,"10,3",389,"3,9",3,1,8,0,25,44,7,3,5,2,26,98,59,9,"138,9","593,7",7,"9,8","33,7","8,3","73,6","18,8","4,2","51,0",venäjä,1523,"viro, eesti",852,somali,707
601   Kulosaaren peruspiiri     ,2964,"74,0",674,"16,8",369,"9,2",241,"6,0",376,"9,4",1 924,"48,0",30,"7,5",34,"8,5",561,"140,7",577,"144,8",245,"6,2",378,"9,5",2580,"65,0",763,"19,2",1 636,484,1 229,4007,283,"7,1",423,"10,6",114,"2,9",271,"6,8",892,"22,3",1246,"31,1",778,"19,4",1 932,"2,06",838,1 053,564,"2,8",206,"9,6",500,"25,9",1 432,"67,0",109,"81,6",71,"8,8",  57 083   ,"12,6",  54 465   ,  30 458   ,"88,3","42,2","1,43",2180,588,681,58,65,28,28,1,7,2,167,"65,7",,,41,"14,5",32,"12,6",1,354,1,455,1,124,0,0,2,895,0,0,53 086,"13,2",45 847,"11,4",7 239,"1,8",147,"3,7",,,0,0,0,0,3,6,2,0,0,0,1,8,6,1,"16,0","77,0",2,"7,0","31,0","7,5","77,9","1,6","0,0","44,7",venäjä,83,englanti,46,"viro, eesti",36
602   Herttoniemen peruspiiri   ,23099,"80,0",1149,"4,0",4627,"16,0",2 593,"9,0",4 666,"16,2",12 305,"42,6",308,"10,7",229,"8,0",4194,"146,0",4210,"146,6",2220,"6,6",2771,"8,2",21900,"64,8",6900,"20,4",4 125,1 449,2 965,28875,2224,"7,7",2392,"8,3",708,"2,5",1775,"6,1",7605,"26,3",9369,"32,5",4802,"16,6",15 573,"1,83",7 894,7 233,3 766,"2,7",2 865,"16,9",5 690,"40,3",8 419,"49,6",576,"64,5",1038,"24,3",  33 684   ,"14,0",  37 613   ,  24 518   ,"60,8","33,5","1,34",16729,1282,9567,4863,815,160,124,375,156,12,1272,"66,5",63,"3,3",381,"17,1",154,"8,1",4,1821,2,839,1,142,0,0,1,364,1,39,343 895,"11,9",288 784,"10,0",55 111,"1,9",3 581,"12,4",256,"5,0",2,0,4,0,16,21,4,3,4,1,18,64,46,4,"61,0","164,1",1,"10,9","33,2","8,8","72,0","15,0","3,8","57,0",venäjä,782,somali,575,"viro, eesti",535
603   Laajasalon peruspiiri     ,16530,"82,8",1163,"5,8",2275,"11,4",1 324,"6,6",2 301,"11,5",9 377,"47,0",176,"9,1",154,"7,9",3143,"161,8",2384,"122,7",2528,"7,5",3162,"9,4",21343,"63,1",6782,"20,1",1 265,143,724,19968,1634,"8,2",2006,"10,1",620,"3,1",1276,"6,4",4011,"20,1",6515,"32,6",3906,"19,6",9 788,"2,03",4 098,5 533,2 982,"2,7",1 400,"13,3",3 478,"38,1",5 648,"53,7",507,"69,8",730,"21,8",  39 023   ,"11,2",  45 884   ,  26 725   ,"74,7","36,9","1,43",10576,3142,4254,2452,184,36,66,18,64,9,986,"68,6",30,"2,1",274,"16,8",110,"7,6",4,1228,1,424,0,0,0,0,0,0,0,0,188 421,"9,4",152 206,"7,6",36 215,"1,8",1 727,"8,6",131,"3,2",1,1,4,0,6,17,1,0,1,1,7,26,7,4,"61,9","352,5",4,"8,7","35,2","7,8","75,4","2,2","0,4","42,2",venäjä,658,"viro, eesti",281,arabia,183
7    Itäinen suurpiiri          ,78851,"70,0",4318,"3,8",29502,"26,2",16 537,"14,7",30 389,"27,0",47 625,"42,3",1133,"10,1",1029,"9,2",15097,"134,4",15367,"136,8",8546,"6,9",11537,"9,3",75999,"61,2",28158,"22,7",3 005,602,1 806,112671,8857,"7,9",10888,"9,7",3727,"3,3",7620,"6,8",23336,"20,7",36991,"32,8",21252,"18,9",56 532,"1,98",26 083,28 693,15 738,"2,8",15 410,"25,5",23 164,"51,6",21 753,"36,1",2 533,"55,9",5285,"30,6",  27 664   ,"15,1",  35 322   ,  22 947   ,"66,8","33,7","1,34",60062,10056,28693,17244,1844,436,526,514,368,69,5092,"65,9",180,"2,3",1790,"20,2",412,"5,3",13,6205,9,2771,2,362,1,236,3,1418,1,44,1 475 665,"13,1",1 241 058,"11,0",234 607,"2,1",20 026,"17,8",1766,"8,0",4,4,13,3,55,63,11,5,8,6,92,237,168,22,"331,2","897,8",6,"13,4","34,4","11,0","66,7","47,4","9,6","50,7",venäjä,6323,somali,3852,"viro, eesti",3306
701   Vartiokylän peruspiiri    ,16090,"72,9",1029,"4,7",4952,"22,4",2 835,"12,8",5 104,"23,1",9 619,"43,6",191,"8,6",274,"12,3",2815,"126,5",3223,"144,9",1317,"6,4",1917,"9,3",12559,"60,9",4842,"23,5",3 122,1 410,2 460,22071,1554,"7,0",2044,"9,3",712,"3,2",1488,"6,7",4467,"20,2",7387,"33,5",4419,"20,0",11 092,"1,96",5 199,5 551,2 942,"2,8",2 682,"22,6",4 134,"45,1",5 038,"42,5",540,"63,3",882,"24,0",  31 424   ,"14,7",  37 045   ,  23 960   ,"70,5","35,9","1,40",12089,3063,5459,2597,687,292,105,179,111,13,879,"64,3",49,"3,6",289,"18,6",81,"5,9",2,888,1,372,1,226,1,236,0,0,0,0,256 914,"11,6",212 658,"9,6",44 256,"2,0",3 472,"15,7",225,"5,5",1,0,2,0,10,10,3,1,3,3,28,144,68,8,"52,4","89,1",2,"12,5","36,3","11,3","68,1","15,0","3,0","50,5",somali,822,venäjä,726,arabia,507
702   Myllypuron peruspiiri     ,9422,"75,0",401,"3,2",2744,"21,8",1 493,"11,9",2 825,"22,5",5 695,"45,3",117,"9,5",100,"8,1",1698,"137,3",1376,"111,3",1099,"7,2",1637,"10,8",9262,"61,0",3174,"20,9",3 570,532,2 072,12567,1145,"9,1",1163,"9,3",415,"3,3",778,"6,2",2645,"21,0",4053,"32,3",2368,"18,8",6 098,"2,04",2 688,3 259,1 809,"2,8",1 587,"23,7",2 596,"50,8",2 515,"37,5",300,"60,7",542,"27,5",  28 421   ,"15,0",  37 945   ,  23 557   ,"68,5","33,6","1,36",6432,1382,2932,1981,191,13,151,13,15,8,677,"66,3",38,"3,7",218,"19,0",65,"6,4",2,878,2,357,0,0,0,0,1,615,0,0,182 144,"14,5",157 011,"12,5",25 133,"2,0",1 795,"14,3",157,"6,1",1,1,1,1,10,13,2,1,1,0,9,12,7,1,"29,2","101,7",0,"10,9","34,4","11,6","69,9","7,4","0,8","49,4",venäjä,548,somali,411,"viro, eesti",323
703   Mellunkylän peruspiiri    ,25899,"66,3",1069,"2,7",12103,"31,0",6 977,"17,9",12 436,"31,8",15 958,"40,8",428,"11,0",378,"9,7",5307,"136,4",5408,"138,9",2815,"6,9",3838,"9,4",25265,"61,9",8909,"21,8",3 983,429,2 036,39071,3106,"8,0",3744,"9,6",1394,"3,6",2794,"7,2",8249,"21,1",12533,"32,1",7251,"18,6",19 494,"2,00",9 077,9 669,5 486,"2,8",6 265,"30,1",8 637,"59,5",5 880,"28,3",812,"46,1",2174,"37,0",  24 113   ,"16,9",  32 473   ,  21 567   ,"65,4","32,9","1,33",20652,3110,10723,7679,325,42,129,74,79,23,1757,"65,9",39,"1,5",698,"22,5",102,"3,8",5,2087,2,832,0,0,0,0,1,287,1,44,538 654,"13,8",453 854,"11,6",84 800,"2,2",7 943,"20,3",702,"9,0",1,2,6,1,15,23,1,1,3,2,32,32,46,8,"100,1","220,8",0,"15,1","32,9","11,0","63,9","13,8","3,2","51,6",venäjä,2574,"viro, eesti",1520,somali,1485
704   Vuosaaren peruspiiri      ,27440,"70,4",1819,"4,7",9703,"24,9",5 232,"13,4",10 024,"25,7",16 353,"42,0",397,"10,2",277,"7,1",5277,"136,0",5360,"138,1",3315,"7,0",4146,"8,7",28912,"60,7",11232,"23,6",2 281,382,1 351,38962,3052,"7,8",3937,"10,1",1206,"3,1",2560,"6,6",7975,"20,5",13018,"33,4",7214,"18,5",19 848,"1,96",9 119,10 214,5 501,"2,7",4 876,"23,2",7 797,"48,4",8 320,"39,6",881,"61,0",1687,"28,0",  28 792   ,"13,5",  36 911   ,  23 749   ,"65,5","33,5","1,32",20889,2501,9579,4987,641,89,141,249,162,25,1779,"66,6",54,"2,0",585,"19,2",164,"6,1",4,2352,4,1210,1,136,0,0,1,516,0,0,497 953,"12,8",417 535,"10,7",80 418,"2,1",6 816,"17,5",682,"8,8",1,1,4,1,20,17,5,2,1,1,23,46,47,5,"149,4","486,3",4,"13,1","35,0","10,5","67,8","11,0","2,6","50,3",venäjä,2475,somali,1134,"viro, eesti",1028
8    Östersundomin suurpiiri,1451,"74,6",377,"19,4",116,"6,0",79,"4,1",128,"6,6",772,"39,7",8,"4,0",8,"4,0",113,"57,2",128,"64,8",297,"9,6",424,"13,8",1786,"58,0",574,"18,6",74,16,66,1944,109,"5,6",279,"14,4",133,"6,8",142,"7,3",189,"9,7",871,"44,8",221,"11,4",667,"2,91",106,558,375,"3,2",129,"12,2",304,"32,7",627,"59,2",115,"80,5",67,"16,5",  60 366   ,"4,9",  98 038   ,  37 262   ,"160,7","55,8","1,50",733,714,66,0,32,4,13,5,10,2,61,"61,6",,,25,"22,9",12,"12,1",1,157,1,108,1,51,0,0,0,0,0,0,10 121,"5,2",7 977,"4,1",2 144,"1,1",24,"1,2",,,1,0,0,0,3,6,1,1,0,0,4,10,1,1,"39,0","1088,5",0,"5,7","39,3",,"80,9","4,6","0,2","11,8",venäjä,40,"viro, eesti",22,englanti,15
801 Östersundomin peruspiiri,1451,"74,6",377,"19,4",116,"6,0",79,"4,1",128,"6,6",772,"39,7",8,"4,0",8,"4,0",113,"57,2",128,"64,8",297,"9,6",424,"13,8",1786,"58,0",574,"18,6",74,16,66,1944,109,"5,6",279,"14,4",133,"6,8",142,"7,3",189,"9,7",871,"44,8",221,"11,4",667,"2,91",106,558,375,"3,2",129,"12,2",304,"32,7",627,"59,2",115,"80,5",67,"16,5",  60 366   ,"4,9",  98 038   ,  37 262   ,"160,7","55,8","1,50",733,714,66,0,32,4,13,5,10,2,61,"61,6",,,25,"22,9",12,"12,1",1,157,1,108,1,51,0,0,0,0,0,0,10 121,"5,2",7 977,"4,1",2 144,"1,1",24,"1,2",,,1,0,0,0,3,6,1,1,0,0,4,10,1,1,"39,0","1088,5",0,"5,7","39,3",,"80,9","4,6","0,2","11,8",venäjä,40,"viro, eesti",22,englanti,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lähde: Helsinki alueittain 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Käsitemääritelmät ja lähteitä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUEJAKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helsingin piirijakojärjestelmä. Hyväksytty kaupunginhallituksessa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.11.2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUESUHDELUKUJA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asukkaita / km2 31.12.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Työpaikkoja / km2 31.12.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerrosala / ha 31.12.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUMISOLOT 31.12.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asuntojen keskikoko on asuinhuoneistojen kokonaisalan ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asuntojen yhteismäärän välinen suhdeluku.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asumisväljyys on asunnon pinta-alan ja siinä asuvien henkilöiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
välinen suhde.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asumistiheys on asunnon huoneiden ja siinä asuvien henkilöiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lukumäärän välinen suhde, keittiötä ei ole laskettu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huoneeksi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lähde: Tilastokeskus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUNNOT 31.12.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huoneistotyypit, keittiö laskettu huoneeksi. Asuntokannan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ikä on määritelty rakennuksen käyttöönottovuoden mukaan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lähde: Tilastokeskus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUNTOKANNAN IKÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lähde: Tilastokeskus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUNTOTUOTANTO 1970–2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lähde: Helsingin kaupungin kaupunginkanslia, kaupunkitutkimus ja -tilastot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUONEISTOTYYPIT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lähde: Tilastokeskus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKÄRAKENNE 31.12.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lapset päivähoidon ja peruskoulun ikäryhmityksellä, työikäinen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
väestö sekä vanhukset omina ryhminään.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
